Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Strathmore,27 Henshall Rd,3.0,h,1330000.0,S,Considine,10/9/2016,9.7,3041,3.0,2.0,1.0,606.0,159.0,1950.0,Moonee Valley City Council,-37.7378,144.9168,Western Metropolitan,3284
Camberwell,9 Lofty Av,5.0,h,2450000.0,VB,Jellis,16/09/2017,7.7,3124,5.0,3.0,2.0,570.0,239.0,1926.0,Boroondara City Council,-37.841359999999995,145.08149,Southern Metropolitan,8920
Yarraville,6/37 Stephen St,3.0,h,940000.0,S,Village,28/08/2016,7.0,3013,3.0,2.0,2.0,171.0,146.0,2007.0,Maribyrnong City Council,-37.8124,144.8957,Western Metropolitan,6543
Malvern East,1/13 Goode St,3.0,h,1210000.0,S,Marshall,3/9/2016,11.2,3145,3.0,2.0,1.0,337.0,146.0,1993.0,Stonnington City Council,-37.8833,145.0697,Southern Metropolitan,8801
Williamstown,2/20 Victoria St,3.0,u,890000.0,S,Gunn&Co,3/12/2016,8.0,3016,3.0,1.0,3.0,0.0,111.0,1980.0,Hobsons Bay City Council,-37.8663,144.8883,Western Metropolitan,6380
Hampton,29 Thomas St,5.0,h,3075000.0,S,Marshall,17/09/2016,13.7,3188,3.0,2.0,2.0,830.0,204.0,1901.0,Bayside City Council,-37.9386,145.006,Southern Metropolitan,5454
East Melbourne,502/1 Powlett St,2.0,u,1300000.0,SP,Caine,12/8/2017,1.3,3002,2.0,2.0,1.0,997.0,92.0,2001.0,Melbourne City Council,-37.8161,144.98494,Northern Metropolitan,3040
Greensborough,34 Crana Gr,3.0,h,922000.0,S,Morrison,16/09/2017,16.1,3088,3.0,2.0,2.0,587.0,200.0,1979.0,Banyule City Council,-37.68569,145.10902,Northern Metropolitan,8524
Moorabbin,110 Chapel Rd,3.0,h,1072000.0,S,Jellis,26/08/2017,14.3,3189,3.0,1.0,3.0,585.0,138.0,1950.0,Kingston City Council,-37.93557,145.04918999999998,Southern Metropolitan,2555
Reservoir,5/25 Ashley St,2.0,u,300000.0,S,Love,26/07/2016,11.2,3073,2.0,1.0,1.0,87.0,62.0,1970.0,Darebin City Council,-37.7174,145.0016,Northern Metropolitan,21650
Rowville,3 Barwon Ct,3.0,h,735000.0,S,Barry,15/07/2017,23.5,3178,3.0,2.0,1.0,721.0,143.0,1984.0,Knox City Council,-37.91713,145.24706,South-Eastern Metropolitan,11667
Bentleigh East,24 Barrani St,3.0,h,1215000.0,S,Woodards,7/5/2016,13.9,3165,3.0,2.0,3.0,730.0,110.0,1970.0,Glen Eira City Council,-37.9119,145.0705,Southern Metropolitan,10969
Sunshine North,3 Belmore Rd,4.0,h,775000.0,S,Douglas,29/04/2017,13.3,3020,4.0,1.0,2.0,665.0,147.0,1980.0,Brimbank City Council,-37.7662,144.8383,Western Metropolitan,4217
Heidelberg West,1 Bardia St,3.0,h,726500.0,S,William,1/7/2017,8.8,3081,3.0,1.0,0.0,593.0,95.0,1950.0,Banyule City Council,-37.7482,145.04073,Eastern Metropolitan,2674
Altona,1/136 Queen St,2.0,u,580000.0,S,Barlow,8/10/2016,13.8,3018,2.0,1.0,1.0,225.0,93.0,1988.0,Hobsons Bay City Council,-37.8696,144.827,Western Metropolitan,5301
Brunswick,73 Mitchell St,2.0,h,890000.0,VB,Woodards,17/06/2017,5.2,3056,2.0,1.0,0.0,138.0,78.0,1910.0,Moreland City Council,-37.75908,144.96968999999999,Northern Metropolitan,11918
Chadstone,2 Fitzroy Gr,4.0,h,1415500.0,S,hockingstuart,22/05/2016,13.6,3148,3.0,2.0,1.0,1033.0,164.0,1950.0,Monash City Council,-37.8738,145.1095,Southern Metropolitan,3582
Fitzroy North,50 Church St,2.0,h,1385000.0,SP,Jellis,26/08/2017,3.6,3068,2.0,1.0,0.0,176.0,80.0,1890.0,Moreland City Council,-37.78852,144.97871999999998,Northern Metropolitan,6244
Bentleigh,17 Smith St,6.0,h,1900000.0,S,hockingstuart,27/11/2016,13.0,3204,6.0,3.0,2.0,708.0,275.0,1988.0,Glen Eira City Council,-37.9181,145.04399999999998,Southern Metropolitan,6795
Keilor Park,47 Victory St,3.0,h,722000.0,SP,Brad,18/06/2016,14.5,3042,3.0,1.0,1.0,695.0,141.0,1970.0,Brimbank City Council,-37.7259,144.8579,Western Metropolitan,1119
Coburg,10/23 Baxter St,1.0,u,241000.0,S,Nelson,28/08/2016,7.8,3058,1.0,1.0,1.0,0.0,62.0,1976.0,Darebin City Council,-37.7463,144.9635,Northern Metropolitan,11204
Prahran,20 Irving Av,3.0,h,1500000.0,PI,Kay,21/10/2017,4.6,3181,3.0,1.0,0.0,,126.0,1900.0,Stonnington City Council,-37.858000000000004,145.00733,Southern Metropolitan,7717
South Yarra,4 Hawksburn Rd,4.0,h,2920000.0,S,RT,27/05/2017,2.7,3141,4.0,2.0,2.0,564.0,254.0,1920.0,Melbourne City Council,-37.84405,145.0016,Southern Metropolitan,14887
Keilor East,17/24 Craig St,3.0,u,580000.0,S,Rendina,10/12/2016,12.8,3033,3.0,2.0,2.0,112.0,138.0,2013.0,Brimbank City Council,-37.7434,144.881,Western Metropolitan,5629
Richmond,110/61 Stawell St,1.0,u,405000.0,PI,McGrath,7/5/2016,2.6,3121,1.0,1.0,1.0,7455.0,53.0,2005.0,Yarra City Council,-37.821999999999996,145.0104,Northern Metropolitan,14949
Brighton East,92 Thomas St,5.0,h,3207000.0,S,hockingstuart,10/12/2016,10.7,3187,5.0,5.0,3.0,1561.0,272.0,1969.0,Bayside City Council,-37.9102,145.0245,Southern Metropolitan,6938
Essendon North,64 Kerferd St,5.0,h,1360000.0,S,Nelson,18/03/2017,9.4,3041,5.0,3.0,2.0,463.0,196.0,1930.0,Moonee Valley City Council,-37.7379,144.9022,Western Metropolitan,1308
Bentleigh,1/7 Uonga Rd,2.0,u,820000.0,S,hockingstuart,19/11/2016,13.0,3204,2.0,1.0,3.0,336.0,109.0,1960.0,Glen Eira City Council,-37.929,145.0375,Southern Metropolitan,6795
Frankston South,23 Fenton Cr,4.0,h,980000.0,S,hockingstuart,26/08/2017,38.0,3199,4.0,2.0,2.0,937.0,191.0,1960.0,Frankston City Council,-38.15845,145.11141,South-Eastern Metropolitan,7566
Elwood,102/95 Ormond Rd,1.0,u,490000.0,VB,McGrath,29/04/2017,7.7,3184,1.0,1.0,1.0,0.0,53.0,2002.0,Port Phillip City Council,-37.8852,144.9877,Southern Metropolitan,8989
Yarraville,118 Severn St,4.0,h,1343000.0,S,Village,25/11/2017,6.3,3013,4.0,2.0,3.0,444.0,167.0,1950.0,Maribyrnong City Council,-37.8206,144.8786,Western Metropolitan,6543
Airport West,2/13 North St,2.0,u,510000.0,S,Nelson,22/08/2016,13.5,3042,2.0,1.0,1.0,141.0,76.0,,Moonee Valley City Council,-37.7202,144.8797,Western Metropolitan,3464
Hadfield,29 Sutherland St,3.0,h,685500.0,SP,Brad,3/9/2016,12.1,3046,3.0,1.0,2.0,724.0,103.0,1970.0,Moreland City Council,-37.7076,144.9481,Northern Metropolitan,2606
Glenroy,58 Bindi St,4.0,h,700000.0,S,RW,8/7/2017,11.2,3046,4.0,2.0,1.0,655.0,82.0,1950.0,Moreland City Council,-37.69558,144.93223,Northern Metropolitan,8870
Ashwood,56 Cleveland Rd,3.0,h,1150000.0,VB,Jellis,17/03/2018,10.2,3147,3.0,1.0,3.0,621.0,132.0,1960.0,Monash City Council,-37.87229,145.10488999999998,Southern Metropolitan,2894
Oakleigh,3 Grant St,2.0,h,875000.0,PI,Ray,26/08/2017,12.3,3166,2.0,1.0,0.0,419.0,76.0,1920.0,Monash City Council,-37.89721,145.09792,Southern Metropolitan,3224
Glenroy,69 Melbourne Av,3.0,h,680000.0,S,FN,29/07/2017,11.2,3046,3.0,1.0,1.0,422.0,104.0,1960.0,Moreland City Council,-37.70425,144.93164,Northern Metropolitan,8870
Essendon,5/36 King St,2.0,u,395000.0,SP,Jellis,18/03/2017,8.0,3040,2.0,1.0,1.0,0.0,68.0,1975.0,Moonee Valley City Council,-37.7461,144.9058,Western Metropolitan,9264
Point Cook,46 Dingo St,3.0,h,500500.0,S,LJ,7/10/2017,14.7,3030,3.0,2.0,2.0,300.0,126.0,2017.0,Wyndham City Council,-37.91375,144.76608000000002,Western Metropolitan,15542
Glen Iris,5/31 Yeovil Rd,2.0,u,851000.0,S,Marshall,12/8/2017,7.3,3146,2.0,1.0,1.0,100.0,87.0,1960.0,Boroondara City Council,-37.852579999999996,145.08588999999998,Southern Metropolitan,10412
Melbourne,901/265 Exhibition St,3.0,u,750000.0,S,Greg,15/10/2016,2.8,3000,3.0,2.0,1.0,0.0,122.0,1998.0,Melbourne City Council,-37.8095,144.9691,Northern Metropolitan,17496
Cheltenham,19/310 Warrigal Rd,2.0,u,460000.0,SP,Ray,16/09/2017,17.9,3192,2.0,1.0,2.0,,81.0,1970.0,Bayside City Council,-37.96594,145.07526000000001,Southern Metropolitan,9758
Gladstone Park,55 The Circuit,3.0,h,630000.0,SP,Barry,24/02/2018,12.9,3043,3.0,2.0,2.0,542.0,126.0,1984.0,Hume City Council,-37.70147,144.89095,Western Metropolitan,3285
Parkdale,2 Kershaw St,4.0,h,1320000.0,S,Hodges,3/9/2017,21.5,3195,4.0,2.0,5.0,600.0,179.0,1950.0,Kingston City Council,-37.998059999999995,145.08829,South-Eastern Metropolitan,5087
Spotswood,4/36 Robert St,1.0,u,380000.0,S,Jas,8/4/2017,7.7,3015,1.0,1.0,1.0,89.0,37.0,1980.0,Hobsons Bay City Council,-37.8291,144.8848,Western Metropolitan,1223
Sunshine,15 Mellor St,3.0,h,745000.0,SP,Biggin,4/3/2017,12.6,3020,3.0,1.0,2.0,518.0,122.0,1960.0,Brimbank City Council,-37.7802,144.8374,Western Metropolitan,3755
Mount Waverley,24 Sunnyside Rd,3.0,h,2000000.0,VB,Fletchers,1/7/2017,14.2,3149,3.0,1.0,2.0,1028.0,181.0,1965.0,Monash City Council,-37.89757,145.11825,Eastern Metropolitan,13366
Moorabbin,20b Grandview Gr,4.0,t,1250000.0,VB,Buxton,24/02/2018,14.3,3189,4.0,3.0,2.0,339.0,262.0,2017.0,Kingston City Council,-37.94372,145.04611,Southern Metropolitan,2555
Brunswick East,5 Linden St,2.0,h,1015000.0,S,Nelson,13/05/2017,4.5,3057,2.0,1.0,0.0,137.0,67.0,1890.0,Moreland City Council,-37.7738,144.9733,Northern Metropolitan,5533
Niddrie,23 Hutchison St,4.0,h,1340000.0,S,Nelson,17/03/2018,10.4,3042,4.0,3.0,2.0,344.0,270.0,2009.0,Moonee Valley City Council,-37.737790000000004,144.88392,Western Metropolitan,2291
Balwyn,17 Knutsford St,3.0,h,3401000.0,S,Jellis,27/11/2016,9.7,3103,3.0,2.0,1.0,706.0,166.0,1930.0,Boroondara City Council,-37.8161,145.0748,Southern Metropolitan,5682
Yarraville,66 Drew St,2.0,h,1256000.0,S,hockingstuart,22/04/2017,7.0,3013,2.0,1.0,3.0,531.0,111.0,1940.0,Maribyrnong City Council,-37.8158,144.8707,Western Metropolitan,6543
Camberwell,6 Kingsley St,4.0,h,3550000.0,S,Marshall,13/05/2017,7.8,3124,4.0,2.0,1.0,790.0,251.0,1890.0,Boroondara City Council,-37.8269,145.0661,Southern Metropolitan,8920
Essendon West,4/426 Buckley St,3.0,t,730000.0,VB,Nelson,18/06/2016,9.8,3040,3.0,2.0,2.0,0.0,118.0,2015.0,Moonee Valley City Council,-37.7532,144.8848,Western Metropolitan,588
Glen Iris,2/10 Osborne Av,2.0,u,580000.0,VB,hockingstuart,22/07/2017,7.3,3146,2.0,1.0,1.0,200.0,62.0,1970.0,Boroondara City Council,-37.85743,145.0468,Southern Metropolitan,10412
Carlton,1003/123 Pelham St,2.0,u,1100000.0,VB,Jellis,27/05/2017,1.6,3053,2.0,2.0,2.0,0.0,,2008.0,Melbourne City Council,-37.80279,144.96442,Northern Metropolitan,6786
Heidelberg,3/10 Edgar St,2.0,t,690000.0,SP,Miles,25/02/2017,10.6,3084,2.0,1.0,1.0,110.0,88.0,2010.0,Banyule City Council,-37.7489,145.07,Eastern Metropolitan,2890
Gladstone Park,19 Osborne Av,4.0,h,749000.0,SP,Barry,8/7/2017,12.9,3043,4.0,2.0,2.0,561.0,160.0,1970.0,Hume City Council,-37.68269,144.88601,Western Metropolitan,3285
Coburg,1/185 Moreland Rd,3.0,t,690000.0,SP,Nelson,3/6/2017,6.7,3058,3.0,1.0,1.0,64.0,109.0,2011.0,Darebin City Council,-37.75535,144.96481,Northern Metropolitan,11204
West Footscray,702 Barkly St,3.0,h,840000.0,PI,Hodges,23/09/2017,6.4,3012,3.0,1.0,3.0,336.0,95.0,1950.0,Maribyrnong City Council,-37.79613,144.86741999999998,Western Metropolitan,5058
Kensington,41 Kensington Rd,3.0,h,902500.0,S,Rendina,22/04/2017,4.2,3031,3.0,1.0,1.0,0.0,125.0,2003.0,Melbourne City Council,-37.7954,144.9259,Northern Metropolitan,5263
Northcote,31 Claude St,3.0,h,,SN,Nelson,12/11/2016,5.5,3070,3.0,2.0,0.0,137.0,140.0,1920.0,Darebin City Council,-37.7707,144.997,Northern Metropolitan,11364
South Kingsville,89A New St,3.0,t,730000.0,S,Sweeney,29/07/2017,6.2,3015,3.0,2.0,2.0,340.0,135.0,2000.0,Hobsons Bay City Council,-37.831720000000004,144.86683,Western Metropolitan,984
Kilsyth,46 Churchill Wy,3.0,h,657000.0,S,Fletchers,7/10/2017,26.0,3137,3.0,1.0,1.0,353.0,107.0,1960.0,Maroondah City Council,-37.7969,145.30507,Eastern Metropolitan,4654
Wollert,36 Saltlake Bvd,4.0,h,740000.0,S,hockingstuart,10/3/2018,25.5,3750,4.0,2.0,2.0,512.0,210.0,2014.0,Whittlesea City Council,-37.61177,145.03887,Northern Metropolitan,2940
Frankston South,3 Diosma Ct,3.0,h,1155000.0,S,hockingstuart,26/08/2017,38.0,3199,3.0,2.0,2.0,2405.0,242.0,1980.0,Frankston City Council,-38.16457,145.12421,South-Eastern Metropolitan,7566
Gardenvale,1/18 Magnolia Rd,2.0,u,595000.0,S,Biggin,19/11/2016,9.8,3185,2.0,1.0,1.0,0.0,75.0,1960.0,Glen Eira City Council,-37.8994,145.0101,Southern Metropolitan,534
Ringwood North,4 Athelstane Dr,4.0,h,942000.0,S,Jellis,7/10/2017,19.9,3134,4.0,1.0,2.0,773.0,131.0,1980.0,Manningham City Council,-37.792590000000004,145.22801,Eastern Metropolitan,3619
Reservoir,92 Pine St,2.0,u,625500.0,S,RW,26/08/2017,12.0,3073,2.0,1.0,2.0,343.0,111.0,1960.0,Darebin City Council,-37.71626,144.99866,Northern Metropolitan,21650
Coburg,45 Portland St,3.0,h,1000000.0,VB,Jellis,4/3/2017,7.8,3058,3.0,2.0,3.0,370.0,110.0,1920.0,Darebin City Council,-37.744,144.9501,Northern Metropolitan,11204
Thornbury,145 Shaftesbury Pde,3.0,h,1195000.0,S,Love,8/4/2017,6.5,3071,3.0,1.0,2.0,463.0,131.0,1930.0,Darebin City Council,-37.7593,144.9885,Northern Metropolitan,8870
Elwood,8/203 Brighton Rd,2.0,u,790000.0,S,Marshall,4/6/2016,7.7,3184,2.0,1.0,2.0,0.0,85.0,1940.0,Port Phillip City Council,-37.8794,144.9938,Southern Metropolitan,8989
Keilor Park,44 Erebus St,4.0,t,746000.0,S,Barry,22/05/2016,14.5,3042,4.0,3.0,1.0,308.0,174.0,1970.0,Brimbank City Council,-37.7231,144.8602,Western Metropolitan,1119
Yarraville,160 Hyde St,3.0,h,871000.0,S,Jas,3/12/2016,7.0,3013,3.0,2.0,2.0,428.0,100.0,1965.0,Maribyrnong City Council,-37.8167,144.8965,Western Metropolitan,6543
Preston,14 Arthur St,2.0,h,1065000.0,S,Love,15/10/2016,8.8,3072,2.0,1.0,3.0,507.0,114.0,1910.0,Darebin City Council,-37.7437,144.9995,Northern Metropolitan,14577
Ripponlea,26 Bell St,2.0,t,755000.0,S,Chisholm,27/06/2016,7.4,3185,2.0,2.0,1.0,66.0,111.0,2005.0,Port Phillip City Council,-37.8813,144.9964,Southern Metropolitan,821
Glen Iris,15 Renwick St,4.0,h,2165000.0,S,Marshall,12/8/2017,7.3,3146,4.0,3.0,2.0,409.0,255.0,2016.0,Boroondara City Council,-37.852,145.07321000000002,Southern Metropolitan,10412
Keilor East,7 Pumice Ct,3.0,h,960000.0,PI,Barry,26/08/2017,11.7,3033,3.0,2.0,2.0,404.0,175.0,2009.0,Brimbank City Council,-37.73977,144.87734,Western Metropolitan,5629
Newport,45 Elizabeth St,4.0,h,1465000.0,S,Sweeney,3/3/2018,6.2,3015,4.0,2.0,2.0,605.0,184.0,1980.0,Hobsons Bay City Council,-37.838640000000005,144.87794,Western Metropolitan,5498
Clifton Hill,15 Caroline St,3.0,h,1460000.0,S,Nelson,27/05/2017,3.6,3068,3.0,1.0,0.0,192.0,85.0,1900.0,Yarra City Council,-37.78992,144.99845,Northern Metropolitan,2954
Meadow Heights,13 Leatherwood Gr,3.0,h,512000.0,S,RW,21/10/2017,17.4,3048,3.0,2.0,1.0,559.0,140.0,1980.0,Hume City Council,-37.64049,144.91477,Northern Metropolitan,4704
Eltham,16 Foster Rd,4.0,h,1060000.0,S,Buckingham,26/08/2017,18.0,3095,4.0,2.0,2.0,842.0,202.0,1980.0,Banyule City Council,-37.70562,145.16611,Eastern Metropolitan,6990
Kew East,62 Munro St,4.0,h,2081000.0,S,Nelson,16/04/2016,7.5,3102,3.0,4.0,3.0,948.0,311.0,1960.0,Boroondara City Council,-37.7881,145.0631,Southern Metropolitan,2671
Balaclava,1/22 Sycamore Gr,2.0,u,520000.0,S,Gary,15/10/2016,6.6,3183,2.0,1.0,0.0,0.0,58.0,1970.0,Port Phillip City Council,-37.8742,144.9972,Southern Metropolitan,2952
Preston,2/2 Josephine Gr,2.0,u,440000.0,SP,Love,21/10/2017,8.4,3072,2.0,1.0,1.0,706.0,65.0,1970.0,Darebin City Council,-37.73543,145.0162,Northern Metropolitan,14577
Glen Iris,35 Adrian St,5.0,h,2400000.0,VB,Jellis,30/07/2016,9.2,3146,5.0,3.0,2.0,709.0,672.0,1930.0,Boroondara City Council,-37.8529,145.0806,Southern Metropolitan,10412
Albion,29 Norwood St,3.0,h,593000.0,SP,Sweeney,4/6/2016,13.9,3020,3.0,2.0,2.0,605.0,102.0,1965.0,Brimbank City Council,-37.7792,144.8117,Western Metropolitan,2185
Balwyn,17 Relowe Cr,5.0,h,2801000.0,SP,Fletchers,17/03/2018,7.9,3103,5.0,2.0,2.0,1280.0,281.0,2006.0,Boroondara City Council,-37.80467,145.10322,Southern Metropolitan,5682
Reservoir,2/6 Merrilands Rd,2.0,u,490000.0,S,Ray,13/05/2017,11.2,3073,2.0,1.0,1.0,143.0,85.0,2009.0,Darebin City Council,-37.6955,145.0097,Northern Metropolitan,21650
Carlton,30/188 Faraday St,2.0,u,589000.0,S,Nelson,28/05/2016,1.8,3053,2.0,1.0,1.0,0.0,63.0,1999.0,Melbourne City Council,-37.7986,144.9682,Northern Metropolitan,6786
Burnside Heights,12 Burke Rd,3.0,h,593000.0,S,Barry,27/05/2017,14.8,3023,4.0,2.0,2.0,480.0,195.0,2007.0,Melton City Council,-37.73321,144.75752,Western Metropolitan,1686
Kingsville,104 Williamstown Rd,2.0,h,677500.0,S,Jas,7/5/2016,7.8,3012,2.0,1.0,1.0,224.0,89.0,1915.0,Maribyrnong City Council,-37.8083,144.8841,Western Metropolitan,1808
Richmond,44 Neptune St,2.0,h,1055000.0,S,Jellis,7/10/2017,2.4,3121,2.0,1.0,0.0,132.0,68.0,1890.0,Yarra City Council,-37.82105,145.0068,Northern Metropolitan,14949
Maribyrnong,4/105 Raleigh Rd,2.0,t,510000.0,PI,Redina,14/05/2016,8.7,3032,2.0,2.0,1.0,176.0,142.0,2010.0,Maribyrnong City Council,-37.7693,144.8905,Western Metropolitan,4918
Prahran,44 Wrights Tce,3.0,h,2610000.0,SP,Jellis,3/3/2018,4.6,3181,3.0,2.0,0.0,279.0,207.0,1885.0,Stonnington City Council,-37.85122,145.00513999999998,Southern Metropolitan,7717
Glen Iris,4/58 Bath Rd,2.0,u,671000.0,S,Noel,4/3/2017,9.2,3146,2.0,1.0,1.0,0.0,85.0,1960.0,Boroondara City Council,-37.8555,145.0889,Southern Metropolitan,10412
Caroline Springs,29 Edgbaston Pde,3.0,h,560000.0,SP,Crane,30/09/2017,14.8,3023,3.0,2.0,2.0,355.0,154.0,2003.0,Melton City Council,-37.739779999999996,144.72851,Western Metropolitan,7719
Maribyrnong,23/4 Wests Rd,3.0,h,456000.0,SP,Raine,18/03/2017,8.7,3032,3.0,2.0,2.0,4977.0,95.0,2005.0,Maribyrnong City Council,-37.7737,144.8816,Western Metropolitan,4918
Mernda,26 Coppice St,4.0,h,670000.0,S,Harcourts,1/7/2017,25.9,3754,4.0,2.0,2.0,512.0,221.0,2012.0,Whittlesea City Council,-37.58676,145.08889,Northern Metropolitan,5812
Knoxfield,64 Allister Av,3.0,h,795000.0,SP,Harcourts,7/10/2017,23.3,3180,3.0,2.0,0.0,752.0,123.0,1970.0,Knox City Council,-37.888259999999995,145.24469,Eastern Metropolitan,2949
Brighton,21 Manor St,5.0,h,,S,Buxton,6/5/2017,11.2,3186,5.0,3.0,3.0,645.0,385.0,2000.0,Bayside City Council,-37.9169,144.989,Southern Metropolitan,10579
Collingwood,10/79 Oxford St,2.0,u,1260000.0,S,Jellis,3/9/2016,1.6,3066,2.0,1.0,1.0,0.0,129.0,1900.0,Yarra City Council,-37.8042,144.9845,Northern Metropolitan,4553
Port Melbourne,16 Nelson St,3.0,h,1520000.0,PI,Marshall,25/02/2017,3.8,3207,3.0,2.0,1.0,0.0,160.0,2016.0,Melbourne City Council,-37.8363,144.9336,Southern Metropolitan,8648
Burwood,29 Murray Dr,3.0,h,1217000.0,S,Buxton,17/03/2018,10.4,3125,3.0,2.0,1.0,392.0,130.0,1950.0,Monash City Council,-37.84429,145.10199,Southern Metropolitan,5678
Keilor East,4 Trent Ct,4.0,h,1010000.0,S,Barry,14/05/2016,12.8,3033,4.0,2.0,2.0,776.0,268.0,1980.0,Brimbank City Council,-37.7502,144.8745,Western Metropolitan,5629
Gowanbrae,85 Marigold Cr,4.0,h,931000.0,S,Nelson,19/08/2017,12.9,3043,4.0,2.0,2.0,462.0,212.0,2008.0,Moreland City Council,-37.699529999999996,144.89941000000002,Western Metropolitan,1071
Toorak,4 Nola Ct,4.0,h,4000000.0,S,Rodney,19/11/2016,4.6,3142,4.0,2.0,2.0,684.0,331.0,1963.0,Stonnington City Council,-37.8485,145.0169,Southern Metropolitan,7217
Preston,19 Cynga St,3.0,h,920000.0,PI,Haughton,27/05/2017,8.4,3072,3.0,1.0,2.0,693.0,93.0,1950.0,Darebin City Council,-37.74528,145.01987,Northern Metropolitan,14577
Reservoir,4 Hickford St,3.0,h,655000.0,S,Love,18/03/2017,11.2,3073,3.0,2.0,2.0,456.0,137.0,1970.0,Darebin City Council,-37.7061,145.0308,Northern Metropolitan,21650
Glen Iris,31 Gardiner Pde,4.0,h,2625000.0,PI,Marshall,19/11/2016,9.2,3146,4.0,3.0,2.0,840.0,326.0,1930.0,Boroondara City Council,-37.8538,145.0641,Southern Metropolitan,10412
St Kilda,4/27 Robe St,2.0,u,385000.0,VB,Harrington,18/06/2016,6.1,3182,2.0,1.0,1.0,0.0,46.0,1970.0,Port Phillip City Council,-37.8648,144.9783,Southern Metropolitan,13240
Camberwell,19 Thomas St,3.0,h,2325000.0,PI,Marshall,7/5/2016,7.8,3124,3.0,2.0,2.0,1133.0,131.0,1930.0,Boroondara City Council,-37.8426,145.0943,Southern Metropolitan,8920
Moonee Ponds,36 Scotia St,3.0,h,850000.0,S,Nelson,26/07/2016,6.9,3039,3.0,2.0,1.0,271.0,143.0,1915.0,Moonee Valley City Council,-37.7682,144.9058,Western Metropolitan,6232
Brighton,20 Byron St,3.0,h,2650000.0,S,RT,1/7/2017,10.5,3186,3.0,2.0,2.0,645.0,219.0,1910.0,Bayside City Council,-37.90876,145.00743,Southern Metropolitan,10579
St Kilda,7/1 St Kilda Rd,3.0,u,616000.0,S,Pride,4/6/2016,6.1,3182,2.0,2.0,2.0,0.0,115.0,1995.0,Port Phillip City Council,-37.8573,144.9825,Southern Metropolitan,13240
Maidstone,2/166 Mitchell St,4.0,t,821000.0,S,Jas,29/07/2017,6.4,3012,4.0,3.0,2.0,294.0,151.0,2014.0,Maribyrnong City Council,-37.78133,144.86768,Western Metropolitan,3873
Greenvale,28 Frontier Av,3.0,h,588000.0,S,Ray,17/03/2018,20.4,3059,3.0,2.0,2.0,313.0,121.0,2015.0,Hume City Council,-37.61354,144.88646,Northern Metropolitan,4864
Hampton,47 Service St,4.0,h,2000000.0,VB,Marshall,21/10/2017,13.8,3188,4.0,3.0,2.0,420.0,320.0,2011.0,Bayside City Council,-37.94008,145.00808999999998,Southern Metropolitan,5454
Middle Park,2/61 Canterbury Rd,2.0,u,535000.0,S,hockingstuart,4/6/2016,4.1,3206,2.0,1.0,1.0,760.0,58.0,1930.0,Port Phillip City Council,-37.8474,144.9625,Southern Metropolitan,2019
Abbotsford,78 Yarra St,3.0,h,1176500.0,S,LITTLE,16/07/2016,2.5,3067,2.0,1.0,1.0,138.0,105.0,1890.0,Yarra City Council,-37.8021,144.9965,Northern Metropolitan,4019
Kew,23 Dean St,5.0,h,3275000.0,S,Jellis,9/12/2017,5.4,3101,5.0,5.0,3.0,780.0,350.0,1890.0,Boroondara City Council,-37.815490000000004,145.0573,Southern Metropolitan,10331
Kingsville,3/14 Edgar St,3.0,u,570000.0,VB,Jas,12/8/2017,6.4,3012,3.0,1.0,1.0,118.0,86.0,1970.0,Maribyrnong City Council,-37.80857,144.87682,Western Metropolitan,1808
Mitcham,1 Orient Av,3.0,h,2305000.0,S,Ray,9/12/2017,17.2,3132,3.0,1.0,2.0,1714.0,147.0,1960.0,Whitehorse City Council,-37.82698,145.19544,Eastern Metropolitan,6871
Werribee,81 Parramatta Rd,3.0,h,470000.0,S,Reliance,16/09/2017,14.7,3030,3.0,1.0,2.0,640.0,125.0,1985.0,Wyndham City Council,-37.88537,144.65337,Western Metropolitan,16166
Cremorne,443 Punt Rd,3.0,h,1280000.0,S,Biggin,7/11/2016,2.5,3121,3.0,2.0,2.0,324.0,165.0,1880.0,Yarra City Council,-37.8278,144.9885,Northern Metropolitan,1123
Reservoir,8/99 Barton St,2.0,u,300000.0,VB,Love,22/08/2016,11.2,3073,2.0,1.0,1.0,0.0,55.0,2014.0,Darebin City Council,-37.7112,144.9989,Northern Metropolitan,21650
St Kilda,8/289 Barkly St,2.0,u,470000.0,VB,McGrath,15/07/2017,5.0,3182,2.0,1.0,0.0,0.0,67.0,1950.0,Port Phillip City Council,-37.873490000000004,144.9798,Southern Metropolitan,13240
Cheltenham,1/21 Kayden St,2.0,u,601000.0,S,Buxton,27/05/2017,17.9,3192,2.0,1.0,1.0,1078.0,94.0,1972.0,Bayside City Council,-37.95745,145.07218999999998,Southern Metropolitan,9758
Bonbeach,2 Royal Rd,3.0,h,1031000.0,S,O'Brien,28/10/2017,27.0,3196,3.0,2.0,3.0,564.0,150.0,1950.0,Kingston City Council,-38.06087,145.12686000000002,South-Eastern Metropolitan,2887
Essendon,33 McCarron Pde,4.0,h,1635000.0,VB,Nelson,15/10/2016,8.0,3040,4.0,1.0,2.0,638.0,227.0,1900.0,Moonee Valley City Council,-37.7523,144.9052,Western Metropolitan,9264
